Jackie Chan
The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.
"Two ex-special forces soldiers must escort a group of civilians along Baghdad's ""Highway of Death"" to the safety of the Green Zone."
"A washed-up stuntman and his stunt horse become an overnight social media sensation when their real-life fight with debt collectors goes viral. Washed-up stuntman Luo can barely make ends meet let alone take care of his beloved stunt horse, Red Hare. Luo reluctantly seeks help from his estranged daughter and her lawyer boyfriend when notified that the horse may be auctioned off to cover his debts. Unexpectedly, Luo and Red Hare become an overnight media sensation when their real-life fight with debt collectors goes viral. And Luo gets a second chance to choose between his stunt career and his family."
"Alan and Mengjie, a couple working together in Beijing, meet again after breaking up."
"A luxury hotel in Hong Kong is suddenly suspected of being the epicenter of the novel Coronavirus. Quarantined by local health authorities, customers find themselves isolated in the hotel, inevitably leading to relationship problems and many ups and downs."
Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.
"The four members of the China Everest Climbing Commando confront the most difficult mount. The first four failures have cost them too much physical strength until the wind and snow stop the gap. May 1960. Mount Everest, the second step under the cliff. The four members of the China Everest Climbing Commando are attacking the most difficult and most difficult ""second step"". This is their fifth assault. The first four failures have cost them too much physical strength - ...finally, the wind and snow stop the gap."
"Early 1700: Cartographer Jonathan Green (Jason Flemyng) from Forbidden Empire (2014) is back to map the Russian Far East. He's forced on to China, where he confronts the Dragon Master et al. The iron masked Russian Czar escapes the Tower of London to a Russian ship. English traveller Jonathan Green (Jason Flemyng) receives from Peter the Great an order to map the Russian Far East. Once again he sets out for a long journey full of incredible adventures that will eventually lead him to China. The cartographer will unexpectedly face a lot of breathtaking discoveries, encounter bizarre creatures, meet with Chinese Princesses, and confront deadly martial arts masters, and even the King of all dragons, the Dragon King. What could be more dangerous than meeting eye-to-eye with Viy, except doing it again? What would be stronger this time, a staunch skepticism of the scientist or the old black magic that has seized power of Eastern lands?"
"A legendary demon hunter (Jackie Chan), tracking down beasts that enter the human dimension, assisted by a lawman protégé and a motley group of friendly monsters."
"When three runaways shack up in an abandoned general store, a supernatural correspondence connects them to many lives that were all touched by the owner of the store years before they were born."
